Country Name,Indicator Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,Urban population (% of total population),42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866,44.052
Africa Eastern and Southern,Urban population (% of total population),33.4965565572998,33.9596331101231,34.4472807617476,34.9195443761507,35.3962894579202,35.8933979262181,36.384272287815,36.8840344817359,37.3936325291716,37.9090120211831
Afghanistan,Urban population (% of total population),24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616
Africa Western and Central,Urban population (% of total population),43.5879525927349,44.2182784910463,44.8490994916973,45.4738502261529,46.0941365580819,46.7097526162217,47.3226173576126,47.9310209575797,48.5319710590465,49.1298079868363
Angola,Urban population (% of total population),62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825,67.46,68.081
Albania,Urban population (% of total population),55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112,62.969,63.799
Andorra,Urban population (% of total population),88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916,87.858,87.811
Arab World,Urban population (% of total population),56.5495371540208,56.9048148917087,57.3250720145106,57.6531027450977,57.8627472124114,58.0104842292073,58.2045421060528,58.4966741305089,58.6629266021441,59.0542670171409
United Arab Emirates,Urban population (% of total population),85.066,85.375,85.674,85.965,86.248,86.522,86.789,87.048,87.299,87.543
Argentina,Urban population (% of total population),91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111,92.229,92.347
Armenia,Urban population (% of total population),63.164,63.112,63.085,63.082,63.103,63.149,63.219,63.313,63.431,63.573
American Samoa,Urban population (% of total population),87.348,87.288,87.238,87.198,87.17,87.153,87.147,87.153,87.169,87.196
Antigua and Barbuda,Urban population (% of total population),25.35,25.175,25,24.846,24.713,24.599,24.506,24.433,24.38,24.346
Australia,Urban population (% of total population),85.502,85.602,85.701,85.8,85.904,86.012,86.124,86.241,86.362,86.488
Austria,Urban population (% of total population),57.336,57.526,57.715,57.905,58.094,58.297,58.515,58.748,58.995,59.256
Azerbaijan,Urban population (% of total population),54.145,54.422,54.714,55.021,55.343,55.68,56.031,56.397,56.776,57.17
Burundi,Urban population (% of total population),11.482,11.776,12.078,12.388,12.706,13.032,13.366,13.708,14.058,14.417
Belgium,Urban population (% of total population),97.789,97.833,97.876,97.919,97.961,98.001,98.041,98.079,98.117,98.153
Benin,Urban population (% of total population),44.642,45.166,45.695,46.229,46.768,47.312,47.861,48.415,48.972,49.534
Burkina Faso,Urban population (% of total population),26.346,26.934,27.53,28.134,28.743,29.358,29.98,30.607,31.24,31.877
Bangladesh,Urban population (% of total population),32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711
Bulgaria,Urban population (% of total population),73.313,73.651,73.99,74.329,74.669,75.008,75.347,75.686,76.025,76.363
Bahrain,Urban population (% of total population),88.835,88.915,88.999,89.09,89.186,89.287,89.394,89.506,89.622,89.743
"Bahamas, The",Urban population (% of total population),82.596,82.668,82.746,82.832,82.925,83.025,83.132,83.245,83.365,83.492
Bosnia and Herzegovina,Urban population (% of total population),46.519,46.84,47.173,47.518,47.876,48.245,48.626,49.02,49.425,49.841
Belarus,Urban population (% of total population),76.199,76.693,77.181,77.661,78.134,78.595,79.044,79.483,79.91,80.326
Belize,Urban population (% of total population),45.282,45.335,45.406,45.495,45.601,45.724,45.866,46.025,46.201,46.396
Bermuda,Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
Bolivia,Urban population (% of total population),67.699,68.047,68.393,68.738,69.08,69.425,69.773,70.123,70.475,70.83
Brazil,Urban population (% of total population),85.209,85.492,85.77,86.042,86.309,86.569,86.824,87.073,87.317,87.555
Barbados,Urban population (% of total population),31.429,31.328,31.249,31.193,31.159,31.147,31.158,31.191,31.246,31.324
Brunei Darussalam,Urban population (% of total population),75.997,76.332,76.663,76.99,77.312,77.629,77.942,78.25,78.554,78.854
Bhutan,Urban population (% of total population),37.149,37.918,38.678,39.428,40.167,40.895,41.612,42.316,43.008,43.686
Botswana,Urban population (% of total population),65.572,66.368,67.155,67.933,68.7,69.446,70.172,70.877,71.56,72.224
Central African Republic,Urban population (% of total population),39.663,39.959,40.277,40.618,40.98,41.364,41.77,42.198,42.648,43.12
Canada,Urban population (% of total population),81.178,81.218,81.259,81.3,81.35,81.411,81.482,81.562,81.653,81.752
Central Europe and the Baltics,Urban population (% of total population),62.0981552953108,62.1158465865466,62.1436813014963,62.1882748434431,62.2529741780182,62.3388759895791,62.4440252566921,62.5680051531236,62.7098871574195,62.8637786019282
Switzerland,Urban population (% of total population),73.674,73.696,73.718,73.739,73.761,73.797,73.849,73.915,73.996,74.092
Channel Islands,Urban population (% of total population),31.027,30.995,30.962,30.93,30.914,30.914,30.931,30.963,31.012,31.077
Chile,Urban population (% of total population),87.246,87.303,87.36,87.422,87.49,87.564,87.643,87.727,87.817,87.912
China,Urban population (% of total population),53.013,54.259,55.5,56.736,57.96,59.152,60.308,61.428,62.512,63.56
Cote d'Ivoire,Urban population (% of total population),48.593,49.014,49.444,49.881,50.326,50.779,51.239,51.706,52.18,52.661
Cameroon,Urban population (% of total population),53.373,53.976,54.578,55.179,55.777,56.374,56.968,57.56,58.148,58.733
"Congo, Dem. Rep.",Urban population (% of total population),41.627,42.18,42.74,43.307,43.88,44.46,45.046,45.638,46.235,46.837
"Congo, Rep.",Urban population (% of total population),64.627,65.085,65.543,66.001,66.459,66.916,67.373,67.829,68.283,68.736
Colombia,Urban population (% of total population),79.061,79.415,79.764,80.108,80.446,80.778,81.104,81.425,81.74,82.05
Comoros,Urban population (% of total population),28.223,28.338,28.47,28.619,28.784,28.965,29.164,29.38,29.613,29.864
Cabo Verde,Urban population (% of total population),63.317,63.81,64.3,64.784,65.261,65.732,66.195,66.652,67.102,67.545
Costa Rica,Urban population (% of total population),74.97,75.941,76.862,77.735,78.56,79.34,80.076,80.771,81.425,82.042
Caribbean small states,Urban population (% of total population),45.979678822128,46.0395441450318,46.101781325771,46.1659213928456,46.2373572113306,46.2088839898113,46.242044728917,46.3863382703163,46.4808018626376,46.6086762119173
Cuba,Urban population (% of total population),76.827,76.861,76.896,76.93,76.977,77.037,77.109,77.194,77.292,77.401
Curacao,Urban population (% of total population),89.544,89.443,89.352,89.272,89.203,89.145,89.098,89.062,89.038,89.025
Cayman Islands,Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
Cyprus,Urban population (% of total population),67.137,67.031,66.946,66.881,66.836,66.81,66.805,66.821,66.856,66.911
Czechia,Urban population (% of total population),73.29,73.384,73.477,73.57,73.675,73.792,73.921,74.061,74.214,74.377
Germany,Urban population (% of total population),77.18,77.19,77.2,77.224,77.261,77.312,77.376,77.453,77.544,77.648
Djibouti,Urban population (% of total population),77.222,77.314,77.417,77.528,77.648,77.777,77.915,78.062,78.217,78.38
Dominica,Urban population (% of total population),68.982,69.28,69.579,69.88,70.181,70.483,70.786,71.09,71.395,71.7
Denmark,Urban population (% of total population),87.292,87.41,87.526,87.642,87.757,87.874,87.994,88.116,88.24,88.367
Dominican Republic,Urban population (% of total population),76.749,77.67,78.566,79.436,80.277,81.074,81.828,82.54,83.213,83.848
Algeria,Urban population (% of total population),69.576,70.221,70.848,71.459,72.052,72.629,73.189,73.733,74.261,74.772
East Asia & Pacific (excluding high income),Urban population (% of total population),50.6939122439899,51.6973010333851,52.695650436027,53.6897778094006,54.6759933117768,55.6392400876998,56.5760210675401,57.4845396808942,58.3655369003636,59.2214841637791
Early-demographic dividend,Urban population (% of total population),43.015949236188,43.4013542045574,43.8136019607097,44.2160174055837,44.6014670203505,44.9830331970367,45.3762640144949,45.7878149257313,46.185409692723,46.6251546023672
East Asia & Pacific,Urban population (% of total population),54.6496650596793,55.5360592269389,56.4205224809368,57.3027481588233,58.1765611121294,59.0346049837374,59.8725583443197,60.6822345154889,61.4594002340012,62.2257323013253
Europe & Central Asia (excluding high income),Urban population (% of total population),62.1908384208987,62.4124062868629,62.6317844561669,62.8526182504972,63.072832038895,63.3012882559489,63.5381111841023,63.7630363446656,63.9918896398853,64.1696236457986
Europe & Central Asia,Urban population (% of total population),71.2719146004369,71.4419389968593,71.6192623024742,71.801745874667,71.9882838029518,72.1818246275918,72.3830940725787,72.5854745019038,72.8021870551272,73.0427838423205
Ecuador,Urban population (% of total population),63.125,63.261,63.398,63.534,63.67,63.821,63.986,64.166,64.361,64.57
"Egypt, Arab Rep.",Urban population (% of total population),42.893,42.839,42.785,42.732,42.705,42.704,42.73,42.783,42.862,42.967
Euro area,Urban population (% of total population),75.677412949049,75.8790748769607,76.0938455855491,76.3109869847735,76.5330323551854,76.7602257724378,77.0019990002021,77.237576107379,77.4745788094599,77.7142540022899
Eritrea,Urban population (% of total population),36.979,37.59,38.206,38.827,39.451,40.08,40.712,41.347,41.985,42.625
Spain,Urban population (% of total population),79.133,79.366,79.602,79.84,80.08,80.321,80.565,80.81,81.056,81.304
Estonia,Urban population (% of total population),68.122,68.269,68.416,68.563,68.717,68.88,69.051,69.229,69.415,69.609
Ethiopia,Urban population (% of total population),18.575,18.998,19.428,19.866,20.31,20.763,21.225,21.695,22.174,22.661
European Union,Urban population (% of total population),73.539694393732,73.718578227178,73.9093394545118,74.1066695879016,74.3095469608047,74.5199347694147,74.7420903789598,74.9649568681208,75.2220512156265,75.4630131264519
Fragile and conflict affected situations,Urban population (% of total population),41.0947458588812,41.4493013991037,41.8328369417415,42.2140242756675,42.5843185313941,42.927213828579,43.2680779543801,43.6394229966267,44.0421070914078,44.401646495307
Finland,Urban population (% of total population),85.125,85.175,85.225,85.275,85.325,85.382,85.446,85.517,85.596,85.681
Fiji,Urban population (% of total population),53.706,54.216,54.726,55.235,55.742,56.248,56.75,57.247,57.74,58.229
France,Urban population (% of total population),79.135,79.394,79.655,79.917,80.18,80.444,80.709,80.975,81.242,81.509
Faroe Islands,Urban population (% of total population),41.363,41.501,41.638,41.777,41.914,42.064,42.225,42.398,42.583,42.779
"Micronesia, Fed. Sts.",Urban population (% of total population),22.355,22.399,22.456,22.526,22.608,22.703,22.812,22.933,23.068,23.217
Gabon,Urban population (% of total population),87.156,87.651,88.118,88.559,88.976,89.37,89.741,90.092,90.423,90.735
United Kingdom,Urban population (% of total population),82.102,82.365,82.626,82.886,83.143,83.398,83.652,83.903,84.152,84.398
Georgia,Urban population (% of total population),56.685,57.067,57.448,57.837,58.231,58.632,59.039,59.453,59.872,60.297
Ghana,Urban population (% of total population),52.748,53.419,54.086,54.749,55.407,56.06,56.707,57.349,57.985,58.615
Gibraltar,Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
Guinea,Urban population (% of total population),34.545,34.836,35.141,35.46,35.793,36.14,36.5,36.875,37.264,37.668
"Gambia, The",Urban population (% of total population),57.82,58.528,59.228,59.918,60.599,61.27,61.931,62.582,63.222,63.852
Guinea-Bissau,Urban population (% of total population),41.31,41.715,42.123,42.533,42.945,43.36,43.777,44.196,44.617,45.041
Equatorial Guinea,Urban population (% of total population),69.544,70.083,70.616,71.138,71.646,72.143,72.627,73.1,73.561,74.01
Greece,Urban population (% of total population),77.355,77.702,78.046,78.387,78.724,79.058,79.388,79.715,80.038,80.357
Grenada,Urban population (% of total population),35.896,35.938,35.997,36.072,36.164,36.272,36.396,36.537,36.694,36.868
Greenland,Urban population (% of total population),85.551,85.813,86.071,86.326,86.574,86.816,87.052,87.282,87.507,87.727
Guatemala,Urban population (% of total population),49.311,49.634,49.971,50.319,50.68,51.054,51.439,51.836,52.245,52.666
Guam,Urban population (% of total population),94.364,94.449,94.534,94.617,94.699,94.78,94.859,94.938,95.015,95.091
Guyana,Urban population (% of total population),26.4,26.414,26.441,26.482,26.538,26.606,26.689,26.786,26.897,27.022
High income,Urban population (% of total population),79.2793264482919,79.4448156633515,79.619215564858,79.797022565174,79.975248074249,80.1536610685452,80.34306724,80.5376121587155,80.7289731442237,80.9370089189055
"Hong Kong SAR, China",Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
Honduras,Urban population (% of total population),53.858,54.514,55.165,55.813,56.457,57.096,57.73,58.359,58.982,59.6
Heavily indebted poor countries (HIPC),Urban population (% of total population),33.7920341062954,34.2342020425185,34.6901904052385,35.1570287833477,35.6246731078244,36.0931323349764,36.5663214736184,37.0465389661088,37.5368693810027,38.0398695478936
Croatia,Urban population (% of total population),55.706,55.923,56.155,56.403,56.667,56.947,57.242,57.553,57.878,58.219
Haiti,Urban population (% of total population),50.46,51.444,52.427,53.396,54.346,55.278,56.192,57.088,57.964,58.82
Hungary,Urban population (% of total population),69.953,70.227,70.5,70.779,71.062,71.351,71.644,71.942,72.245,72.552
IBRD only,Urban population (% of total population),52.0048682354504,52.6291788164324,53.2501093941016,53.8640328456027,54.4741980035345,55.0784159525631,55.6744652050534,56.2590499533727,56.8383385861658,57.4058665531603
IDA & IBRD total,Urban population (% of total population),47.6052469706067,48.1472390013645,48.6933602687895,49.2345477182403,49.7724420267884,50.3022608417101,50.8224594348819,51.3304849839119,51.8314960031235,52.3267936656641
IDA total,Urban population (% of total population),34.48626328,34.9204619898463,35.3930381647771,35.8790773172789,36.3729490402555,36.8687600283367,37.3669945784169,37.8684932790367,38.3770927534876,38.9024403014797
IDA blend,Urban population (% of total population),39.8261387487788,40.2915667694844,40.7619588553386,41.2338722906107,41.7035957694469,42.1758519476534,42.6518715328594,43.1307615095308,43.6139565169933,44.1068335907459
Indonesia,Urban population (% of total population),51.955,52.635,53.313,53.989,54.659,55.325,55.985,56.641,57.29,57.934
IDA only,Urban population (% of total population),31.751090582743,32.1706425127978,32.6489271451353,33.1507813516416,33.6657318054966,34.1820473721284,34.7015325402987,35.2236572622926,35.7521641650507,36.3007820768614
Isle of Man,Urban population (% of total population),52.096,52.162,52.245,52.343,52.458,52.588,52.735,52.898,53.076,53.271
India,Urban population (% of total population),32.003,32.384,32.777,33.182,33.6,34.03,34.472,34.926,35.393,35.872
Not classified,Urban population (% of total population),,,,,,,,,,
Ireland,Urban population (% of total population),62.141,62.34,62.538,62.737,62.947,63.17,63.405,63.653,63.912,64.183
"Iran, Islamic Rep.",Urban population (% of total population),72.295,72.83,73.358,73.88,74.394,74.898,75.391,75.874,76.345,76.807
Iraq,Urban population (% of total population),69.595,69.758,69.921,70.094,70.278,70.473,70.678,70.893,71.119,71.354
Iceland,Urban population (% of total population),93.633,93.667,93.7,93.735,93.773,93.813,93.855,93.898,93.944,93.992
Israel,Urban population (% of total population),92.031,92.104,92.179,92.256,92.336,92.418,92.501,92.587,92.674,92.763
Italy,Urban population (% of total population),68.979,69.272,69.565,69.855,70.144,70.438,70.736,71.039,71.346,71.657
Jamaica,Urban population (% of total population),54.35,54.584,54.833,55.098,55.378,55.674,55.985,56.311,56.652,57.008
Jordan,Urban population (% of total population),89.125,90,90.256,90.506,90.747,90.979,91.203,91.418,91.626,91.827
Japan,Urban population (% of total population),91.226,91.304,91.381,91.457,91.535,91.616,91.698,91.782,91.867,91.955
Kazakhstan,Urban population (% of total population),57.046,57.118,57.191,57.264,57.336,57.428,57.54,57.671,57.821,57.99
Kenya,Urban population (% of total population),24.794,25.221,25.658,26.105,26.562,27.03,27.507,27.995,28.493,29.002
Kyrgyz Republic,Urban population (% of total population),35.517,35.635,35.777,35.944,36.135,36.351,36.591,36.856,37.146,37.461
Cambodia,Urban population (% of total population),21.415,21.799,22.188,22.582,22.98,23.388,23.805,24.232,24.668,25.114
Kiribati,Urban population (% of total population),49.927,50.773,51.619,52.45,53.262,54.057,54.835,55.594,56.335,57.058
St. Kitts and Nevis,Urban population (% of total population),30.964,30.885,30.827,30.79,30.773,30.776,30.799,30.843,30.906,30.991
"Korea, Rep.",Urban population (% of total population),81.779,81.707,81.634,81.562,81.503,81.459,81.43,81.414,81.414,81.427
Kuwait,Urban population (% of total population),100,100,100,100,100,100,100,100,100,100
Latin America & Caribbean (excluding high income),Urban population (% of total population),78.698729246188,78.9861019691122,79.2708600635187,79.5504320500921,79.8252752102634,80.0961882807648,80.3648674832171,80.6312118952612,80.894048544763,81.1519838581035
Lao PDR,Urban population (% of total population),31.872,32.487,33.108,33.736,34.368,35.004,35.645,36.29,36.939,37.592
Lebanon,Urban population (% of total population),87.79,87.947,88.106,88.266,88.429,88.593,88.758,88.925,89.093,89.262
Liberia,Urban population (% of total population),48.985,49.397,49.82,50.254,50.697,51.151,51.615,52.089,52.573,53.065
Libya,Urban population (% of total population),78.756,79.009,79.27,79.54,79.817,80.102,80.393,80.691,80.994,81.302
St. Lucia,Urban population (% of total population),18.461,18.482,18.515,18.558,18.612,18.678,18.754,18.841,18.94,19.05
Latin America & Caribbean,Urban population (% of total population),79.3620298704745,79.6224551556973,79.8805912794445,80.1333648585001,80.3783716386719,80.6118837550519,80.8467032364303,81.0877962869629,81.3272277367298,81.5649149138088
